CVE,Vendor,Product,Name,Added,Description,Action,Due,RansomwareCampaign,Notes,CVSS2,CVSS3x,EPSS,Percentile,KEVPercentile
CVE-2021-31199,Microsoft,Enhanced Cryptographic Provider,Microsoft Enhanced Cryptographic Provider Privilege Escalation Vulnerability,11/3/2021,Microsoft Enhanced Cryptographic Provider contains an unspecified vulnerability that allows for privilege escalation.,Apply updates per vendor instructions.,11/17/2021,Unknown,,4.6,5.2,0.00520,0.74330,0.57341
CVE-2021-33771,Microsoft,Windows,Microsoft Windows Kernel Privilege Escalation Vulnerability,11/3/2021,Microsoft Windows kernel contains an unspecified vulnerability that allows for privilege escalation.,Apply updates per vendor instructions.,11/17/2021,Unknown,,7.2,7.8,0.00068,0.28147,0.49949
CVE-2021-31956,Microsoft,Windows,Microsoft Windows NTFS Privilege Escalation Vulnerability,11/3/2021,Microsoft Windows New Technology File System (NTFS) contains an unspecified vulnerability that allows attackers to escalate privileges via a specially crafted application.,Apply updates per vendor instructions.,11/17/2021,Unknown,,9.3,7.8,0.00043,0.07539,0.44493
CVE-2021-31201,Microsoft,Enhanced Cryptographic Provider,Microsoft Enhanced Cryptographic Provider Privilege Escalation Vulnerability,11/3/2021,Microsoft Enhanced Cryptographic Provider contains an unspecified vulnerability that allows for privilege escalation.,Apply updates per vendor instructions.,11/17/2021,Unknown,,4.6,5.2,0.00392,0.70642,0.56843
CVE-2021-31979,Microsoft,Windows,Microsoft Windows Kernel Privilege Escalation Vulnerability,11/3/2021,Microsoft Windows kernel contains an unspecified vulnerability that allows for privilege escalation.,Apply updates per vendor instructions.,11/17/2021,Unknown,,7.2,7.8,0.00068,0.28147,0.49949
CVE-2020-0938,Microsoft,Windows,Microsoft Windows Adobe Font Manager Library Remote Code Execution Vulnerability,11/3/2021,"Microsoft Windows Adobe Font Manager Library contains an unspecified vulnerability when handling specially crafted multi-master fonts (Adobe Type 1 PostScript format) that allows for remote code execution for all systems except Windows 10. For systems running Windows 10, an attacker who successfully exploited the vulnerability could execute code in an AppContainer sandbox context with limited privileges and capabilities.",Apply updates per vendor instructions.,5/3/2022,Unknown,,6.8,7.8,0.93996,0.98977,1.00000
CVE-2020-17144,Microsoft,Exchange Server,Microsoft Exchange Server Remote Code Execution Vulnerability,11/3/2021,Microsoft Exchange Server improperly validates cmdlet arguments which allow an attacker to perform remote code execution.,Apply updates per vendor instructions.,5/3/2022,Unknown,,6,8.4,0.33791,0.96674,0.73263
CVE-2020-0986,Microsoft,Windows,Microsoft Windows Kernel Privilege Escalation Vulnerability,11/3/2021,Microsoft Windows kernel contains an unspecified vulnerability when handling objects in memory that allows attackers to escalate privileges and execute code in kernel mode.,Apply updates per vendor instructions.,5/3/2022,Unknown,,7.2,7.8,0.00072,0.29502,0.50240
CVE-2020-1020,Microsoft,Windows,Microsoft Windows Adobe Font Manager Library Remote Code Execution Vulnerability,11/3/2021,"Microsoft Windows Adobe Font Manager Library contains an unspecified vulnerability when handling specially crafted multi-master fonts (Adobe Type 1 PostScript format) that allows for remote code execution for all systems except Windows 10. For systems running Windows 10, an attacker who successfully exploited the vulnerability could execute code in an AppContainer sandbox context with limited privileges and capabilities.",Apply updates per vendor instructions.,5/3/2022,Unknown,,6.8,8.8,0.92867,0.98838,1.00000
CVE-2021-38645,Microsoft,Open Management Infrastructure (OMI),Microsoft Open Management Infrastructure (OMI) Privilege Escalation Vulnerability,11/3/2021,Microsoft Open Management Infrastructure (OMI) within Azure VM Management Extensions contains an unspecified vulnerability that allows for privilege escalation.,Apply updates per vendor instructions.,11/17/2021,Unknown,,4.6,7.8,0.00051,0.17100,0.48009
CVE-2021-34523,Microsoft,Exchange Server,Microsoft Exchange Server Privilege Escalation Vulnerability,11/3/2021,Microsoft Exchange Server contains an unspecified vulnerability that allows for privilege escalation.,Apply updates per vendor instructions.,11/17/2021,Known,,7.5,9,0.54148,0.97342,0.87348
CVE-2017-7269,Microsoft,Internet Information Services (IIS),Microsoft Windows Server Buffer Overflow Vulnerability,11/3/2021,"Microsoft Windows Server 2003 R2 contains a buffer overflow vulnerability in Internet Information Services (IIS) 6.0 which allows remote attackers to execute code via a long header beginning with ""If: <http://"" in a PROPFIND request.",Apply updates per vendor instructions.,5/3/2022,Unknown,,10,9.8,0.97121,0.99748,1.00000
CVE-2021-36948,Microsoft,Windows,Microsoft Windows Update Medic Service Privilege Escalation Vulnerability,11/3/2021,Microsoft Windows Update Medic Service contains an unspecified vulnerability that allows for privilege escalation.,Apply updates per vendor instructions.,11/17/2021,Unknown,,4.6,7.8,0.00043,0.07539,0.44493
CVE-2021-38649,Microsoft,Open Management Infrastructure (OMI),Microsoft Open Management Infrastructure (OMI) Privilege Escalation Vulnerability,11/3/2021,Microsoft Open Management Infrastructure (OMI) within Azure VM Management Extensions contains an unspecified vulnerability allowing privilege escalation.,Apply updates per vendor instructions.,11/17/2021,Unknown,,4.6,7,0.00051,0.17100,0.48009
CVE-2020-0688,Microsoft,Exchange Server,Microsoft Exchange Server Validation Key Remote Code Execution Vulnerability,11/3/2021,"Microsoft Exchange Server Validation Key fails to properly create unique keys at install time, allowing for remote code execution.",Apply updates per vendor instructions.,5/3/2022,Known,,9,8.8,0.97189,0.99779,1.00000
CVE-2017-0143,Microsoft,Windows,Microsoft Windows Server Message Block (SMBv1) Remote Code Execution Vulnerability,11/3/2021,Microsoft Windows Server Message Block 1.0 (SMBv1) contains an unspecified vulnerability that allows for remote code execution.,Apply updates per vendor instructions.,5/3/2022,Known,,9.3,8.1,0.97301,0.99854,1.00000
CVE-2016-7255,Microsoft,Win32k,Microsoft Win32k Privilege Escalation Vulnerability,11/3/2021,Microsoft Win32k kernel-mode driver fails to properly handle objects in memory which allows for privilege escalation. Successful exploitation allows an attacker to run code in kernel mode.,Apply updates per vendor instructions.,5/3/2022,Unknown,,7.2,7.8,0.00631,0.76815,0.57580
CVE-2019-0708,Microsoft,Remote Desktop Services,Microsoft Remote Desktop Services Remote Code Execution Vulnerability,11/3/2021,"Microsoft Remote Desktop Services, formerly known as Terminal Service, contains an unspecified vulnerability that allows an unauthenticated attacker to connect to the target system using RDP and send specially crafted requests. Successful exploitation allows for remote code execution. The vulnerability is also known under the moniker of BlueKeep.",Apply updates per vendor instructions.,5/3/2022,Unknown,,10,9.8,0.97496,0.99975,1.00000
CVE-2021-34473,Microsoft,Exchange Server,Microsoft Exchange Server Remote Code Execution Vulnerability,11/3/2021,Microsoft Exchange Server contains an unspecified vulnerability that allows for remote code execution.,Apply updates per vendor instructions.,11/17/2021,Known,,10,9.1,0.97078,0.99724,1.00000
CVE-2020-1464,Microsoft,Windows,Microsoft Windows Spoofing Vulnerability,11/3/2021,"Microsoft Windows contains a spoofing vulnerability when Windows incorrectly validates file signatures, allowing an attacker to bypass security features and load improperly signed files.",Apply updates per vendor instructions.,5/3/2022,Unknown,,2.1,7.8,0.09262,0.94112,0.65702
CVE-2021-1732,Microsoft,Win32k,Microsoft Win32k Privilege Escalation Vulnerability,11/3/2021,Microsoft Win32k contains an unspecified vulnerability that allows for privilege escalation.,Apply updates per vendor instructions.,11/17/2021,Known,,4.6,7.8,0.00436,0.72063,0.57193
CVE-2021-34527,Microsoft,Windows,Microsoft Windows Print Spooler Remote Code Execution Vulnerability,11/3/2021,Microsoft Windows Print Spooler contains an unspecified vulnerability due to the Windows Print Spooler service improperly performing privileged file operations. Successful exploitation allows an attacker to perform remote code execution with SYSTEM privileges. The vulnerability is also known under the moniker of PrintNightmare.,Apply updates per vendor instructions.,7/20/2021,Known,Reference CISA's ED 21-04 (https://www.cisa.gov/emergency-directive-21-04) for further guidance and requirements.,9,8.8,0.96818,0.99620,1.00000
CVE-2021-31207,Microsoft,Exchange Server,Microsoft Exchange Server Security Feature Bypass Vulnerability,11/3/2021,Microsoft Exchange Server contains an unspecified vulnerability that allows for security feature bypass.,Apply updates per vendor instructions.,11/17/2021,Known,,6.5,6.6,0.93973,0.98973,1.00000
CVE-2019-0803,Microsoft,Win32k,Microsoft Win32k Privilege Escalation Vulnerability,11/3/2021,Microsoft Win32k contains an unspecified vulnerability due to it failing to properly handle objects in memory causing privilege escalation. Successful exploitation allows an attacker to run code in kernel mode.,Apply updates per vendor instructions.,5/3/2022,Unknown,,7.2,7.8,0.00527,0.74534,0.57351
CVE-2020-1040,Microsoft,Hyper-V RemoteFX,Microsoft Hyper-V RemoteFX vGPU Remote Code Execution Vulnerability,11/3/2021,Microsoft Hyper-V RemoteFX vGPU contains an improper input validation vulnerability due to the host server failing to properly validate input from an authenticated user on a guest operating system. Successful exploitation allows for remote code execution on the host operating system.,Apply updates per vendor instructions.,5/3/2022,Unknown,,7.7,9,0.00282,0.65280,0.56036
CVE-2021-28310,Microsoft,Win32k,Microsoft Win32k Privilege Escalation Vulnerability,11/3/2021,Microsoft Windows Win32k contains an unspecified vulnerability that allows for privilege escalation.,Apply updates per vendor instructions.,11/17/2021,Unknown,,4.6,7.8,0.00329,0.68006,0.56543
CVE-2020-1350,Microsoft,Windows,Microsoft Windows DNS Server Remote Code Execution Vulnerability,11/3/2021,"Microsoft Windows DNS Servers fail to properly handle requests, allowing an attacker to perform remote code execution in the context of the Local System Account. The vulnerability is also known under the moniker of SIGRed.",Apply updates per vendor instructions.,7/24/2020,Unknown,Reference CISA's ED 20-03 (https://www.cisa.gov/emergency-directive-20-03) for further guidance and requirements.,10,10,0.93986,0.98976,1.00000
CVE-2021-26411,Microsoft,Internet Explorer,Microsoft Internet Explorer Memory Corruption Vulnerability,11/3/2021,Microsoft Internet Explorer contains an unspecified vulnerability that allows for memory corruption.,Apply updates per vendor instructions.,11/17/2021,Known,,5.1,8.8,0.04789,0.91929,0.62694
CVE-2019-0859,Microsoft,Win32k,Microsoft Win32k Privilege Escalation Vulnerability,11/3/2021,Microsoft Win32k fails to properly handle objects in memory causing privilege escalation. Successful exploitation allows an attacker to run code in kernel mode.,Apply updates per vendor instructions.,5/3/2022,Unknown,,7.2,7.8,0.00042,0.05779,0.43343
CVE-2021-40444,Microsoft,MSHTML,Microsoft MSHTML Remote Code Execution Vulnerability,11/3/2021,Microsoft MSHTML contains a unspecified vulnerability that allows for remote code execution.,Apply updates per vendor instructions.,11/17/2021,Known,,6.8,8.8,0.96868,0.99641,1.00000
CVE-2017-8759,Microsoft,.NET Framework,Microsoft .NET Framework Remote Code Execution Vulnerability,11/3/2021,Microsoft .NET Framework contains a remote code execution vulnerability when processing untrusted input that could allow an attacker to take control of an affected system.,Apply updates per vendor instructions.,5/3/2022,Unknown,,9.3,7.8,0.97003,0.99690,1.00000
CVE-2018-8653,Microsoft,Internet Explorer,Microsoft Internet Explorer Scripting Engine Memory Corruption Vulnerability,11/3/2021,"Microsoft Internet Explorer contains a memory corruption vulnerability due to how the Scripting Engine handles objects in memory, leading to remote code execution.",Apply updates per vendor instructions.,5/3/2022,Unknown,,7.6,7.5,0.09348,0.94144,0.65712
CVE-2019-0797,Microsoft,Win32k,Microsoft Win32k Privilege Escalation Vulnerability,11/3/2021,Microsoft Win32k contains a privilege escalation vulnerability when the Win32k component fails to properly handle objects in memory. Successful exploitation allows an attacker to execute code in kernel mode.,Apply updates per vendor instructions.,5/3/2022,Unknown,,7.2,7.8,0.00042,0.05779,0.43343
CVE-2021-36942,Microsoft,Windows,Microsoft Windows Local Security Authority (LSA) Spoofing Vulnerability,11/3/2021,Microsoft Windows Local Security Authority (LSA) contains a spoofing vulnerability allowing an unauthenticated attacker to call a method on the LSARPC interface and coerce the domain controller to authenticate against another server using NTLM.,Apply updates per vendor instructions.,11/17/2021,Known,,5,7.5,0.84780,0.98242,1.00000
CVE-2019-1215,Microsoft,Windows,Microsoft Windows Privilege Escalation Vulnerability,11/3/2021,"Microsoft Windows contains an unspecified vulnerability due to the way ws2ifsl.sys (Winsock) handles objects in memory, allowing for privilege escalation. Successful exploitation allows an attacker to execute code with elevated privileges.�",Apply updates per vendor instructions.,5/3/2022,Known,,7.2,7.8,0.00043,0.07357,0.44406
CVE-2018-0798,Microsoft,Office,Microsoft Office Memory Corruption Vulnerability,11/3/2021,Microsoft Office contains a memory corruption vulnerability due to the way objects are handled in memory. Successful exploitation allows for remote code execution in the context of the current user. This vulnerability is known to be chained with CVE-2018-0802.,Apply updates per vendor instructions.,5/3/2022,Unknown,,9.3,8.8,0.91620,0.98689,1.00000
CVE-2018-0802,Microsoft,Office,Microsoft Office Memory Corruption Vulnerability,11/3/2021,Microsoft Office contains a memory corruption vulnerability due to the way objects are handled in memory. Successful exploitation allows for remote code execution in the context of the current user. This vulnerability is known to be chained with CVE-2018-0798.,Apply updates per vendor instructions.,5/3/2022,Unknown,,9.3,7.8,0.97165,0.99767,1.00000
CVE-2012-0158,Microsoft,MSCOMCTL.OCX,Microsoft MSCOMCTL.OCX Remote Code Execution Vulnerability,11/3/2021,"Microsoft MSCOMCTL.OCX contains an unspecified vulnerability that allows for remote code execution, allowing an attacker to take complete control of an affected system under the context of the current user.",Apply updates per vendor instructions.,5/3/2022,Unknown,,9.3,,0.97000,0.99689,1.00000
CVE-2015-1641,Microsoft,Office,Microsoft Office Memory Corruption Vulnerability,11/3/2021,Microsoft Office contains a memory corruption vulnerability due to failure to properly handle rich text format files in memory. Successful exploitation allows for remote code execution in the context of the current user.,Apply updates per vendor instructions.,5/3/2022,Unknown,,9.3,,0.96614,0.99546,1.00000
CVE-2021-27085,Microsoft,Internet Explorer,Microsoft Internet Explorer Remote Code Execution Vulnerability,11/3/2021,Microsoft Internet Explorer contains an unspecified vulnerability that allows for remote code execution.,Apply updates per vendor instructions.,11/17/2021,Unknown,,7.6,8.8,0.29873,0.96500,0.71970
CVE-2019-0541,Microsoft,MSHTML,Microsoft MSHTML Remote Code Execution Vulnerability,11/3/2021,Microsoft MSHTML engine contains an improper input validation vulnerability that allows for remote code execution vulnerability.,Apply updates per vendor instructions.,5/3/2022,Unknown,,9.3,8.8,0.97300,0.99853,1.00000
CVE-2017-11882,Microsoft,Office,Microsoft Office Memory Corruption Vulnerability,11/3/2021,Microsoft Office contains a memory corruption vulnerability that allows remote code execution in the context of the current user.,Apply updates per vendor instructions.,5/3/2022,Known,,9.3,7.8,0.97432,0.99936,1.00000
CVE-2020-0674,Microsoft,Internet Explorer,Microsoft Internet Explorer Scripting Engine Memory Corruption Vulnerability,11/3/2021,Microsoft Internet Explorer contains a memory corruption vulnerability due to the way the Scripting Engine handles objects in memory. Successful exploitation could allow remote code execution in the context of the current user.,Apply updates per vendor instructions.,5/3/2022,Unknown,,7.6,7.5,0.97423,0.99926,1.00000
CVE-2021-27059,Microsoft,Office,Microsoft Office Remote Code Execution Vulnerability,11/3/2021,Microsoft Office contains an unspecified vulnerability that allows for remote code execution.,Apply updates per vendor instructions.,11/17/2021,Unknown,,8.5,7.6,0.24788,0.96226,0.70673
CVE-2019-1367,Microsoft,Internet Explorer,Microsoft Internet Explorer Scripting Engine Memory Corruption Vulnerability,11/3/2021,Microsoft Internet Explorer contains a memory corruption vulnerability in how the scripting engine handles objects in memory. Successful exploitation allows for remote code execution in the context of the current user.,Apply updates per vendor instructions.,5/3/2022,Known,,7.6,7.5,0.90200,0.98563,1.00000
CVE-2017-0199,Microsoft,Office and WordPad,Microsoft Office and WordPad Remote Code Execution Vulnerability,11/3/2021,Microsoft Office and WordPad contain an unspecified vulnerability due to the way the applications parse specially crafted files. Successful exploitation allows for remote code execution.,Apply updates per vendor instructions.,5/3/2022,Known,,9.3,7.8,0.97421,0.99925,1.00000
CVE-2020-1380,Microsoft,Internet Explorer,Microsoft Internet Explorer Scripting Engine Memory Corruption Vulnerability,11/3/2021,Microsoft Internet Explorer contains a memory corruption vulnerability which can allow for remote code execution in the context of the current user.,Apply updates per vendor instructions.,5/3/2022,Unknown,,7.6,7.8,0.21437,0.96009,0.69319
CVE-2019-1429,Microsoft,Internet Explorer,Microsoft Internet Explorer Scripting Engine Memory Corruption Vulnerability,11/3/2021,Microsoft Internet Explorer contains a memory corruption vulnerability which can allow for remote code execution in the context of the current user.,Apply updates per vendor instructions.,5/3/2022,Unknown,,7.6,7.5,0.97139,0.99755,1.00000
CVE-2017-11774,Microsoft,Office,Microsoft Office Outlook Security Feature Bypass Vulnerability,11/3/2021,Microsoft Office Outlook contains a security feature bypass vulnerability due to improperly handling objects in memory. Successful exploitation allows an attacker to execute commands.,Apply updates per vendor instructions.,5/3/2022,Unknown,,6.8,7.8,0.86235,0.98324,1.00000
CVE-2020-0968,Microsoft,Internet Explorer,Microsoft Internet Explorer Scripting Engine Memory Corruption Vulnerability,11/3/2021,"Microsoft Internet Explorer contains a memory corruption vulnerability due to how the Scripting Engine handles objects in memory, leading to remote code execution.",Apply updates per vendor instructions.,5/3/2022,Unknown,,7.6,7.5,0.09457,0.94181,0.65723
CVE-2020-1472,Microsoft,Netlogon,Microsoft Netlogon Privilege Escalation Vulnerability,11/3/2021,Microsoft's Netlogon Remote Protocol (MS-NRPC) contains a privilege escalation vulnerability when an attacker establishes a vulnerable Netlogon secure channel connection to a domain controller. An attacker who successfully exploits the vulnerability could run a specially crafted application on a device on the network. The vulnerability is also known under the moniker of Zerologon.,Apply updates per vendor instructions.,9/21/2020,Known,Reference CISA's ED 20-03 (https://www.cisa.gov/emergency-directive-20-03) for further guidance and requirements.,9.3,5.5,0.32915,0.96636,0.73110
CVE-2021-26855,Microsoft,Exchange Server,Microsoft Exchange Server Remote Code Execution Vulnerability,11/3/2021,Microsoft Exchange Server contains an unspecified vulnerability that allows for remote code execution. This vulnerability is part of the ProxyLogon exploit chain.,Apply updates per vendor instructions.,4/16/2021,Known,Reference CISA's ED 21-02 (https://www.cisa.gov/emergency-directive-21-02) for further guidance and requirements.,7.5,9.1,0.97468,0.99959,1.00000
CVE-2021-26858,Microsoft,Exchange Server,Microsoft Exchange Server Remote Code Execution Vulnerability,11/3/2021,Microsoft Exchange Server contains an unspecified vulnerability that allows for remote code execution. This vulnerability is part of the ProxyLogon exploit chain.,Apply updates per vendor instructions.,4/16/2021,Known,Reference CISA's ED 21-02 (https://www.cisa.gov/emergency-directive-21-02) for further guidance and requirements.,6.8,7.8,0.32711,0.96630,0.72898
CVE-2021-27065,Microsoft,Exchange Server,Microsoft Exchange Server Remote Code Execution Vulnerability,11/3/2021,Microsoft Exchange Server contains an unspecified vulnerability that allows for remote code execution. This vulnerability is part of the ProxyLogon exploit chain.,Apply updates per vendor instructions.,4/16/2021,Known,Reference CISA's ED 21-02 (https://www.cisa.gov/emergency-directive-21-02) for further guidance and requirements.,6.8,7.8,0.97080,0.99726,1.00000
CVE-2020-1054,Microsoft,Win32k,Microsoft Win32k Privilege Escalation Vulnerability,11/3/2021,Microsoft Win32k contains a privilege escalation vulnerability when the Windows kernel-mode driver fails to properly handle objects in memory. Successful exploitation allows an attacker to execute code in kernel mode.,Apply updates per vendor instructions.,5/3/2022,Unknown,,7.2,7.8,0.00222,0.60595,0.55198
CVE-2021-1675,Microsoft,Windows,Microsoft Windows Print Spooler Remote Code Execution Vulnerability,11/3/2021,Microsoft Windows Print Spooler contains an unspecified vulnerability that allows for remote code execution.,Apply updates per vendor instructions.,11/17/2021,Known,,9.3,7.8,0.96782,0.99610,1.00000
CVE-2021-34448,Microsoft,Windows,Microsoft Windows Scripting Engine Memory Corruption Vulnerability,11/3/2021,Microsoft Windows Scripting Engine contains an unspecified vulnerability that allows for memory corruption.,Apply updates per vendor instructions.,11/17/2021,Unknown,,9.3,6.8,0.94660,0.99080,1.00000
CVE-2020-0601,Microsoft,Windows,Microsoft Windows CryptoAPI Spoofing Vulnerability,11/3/2021,"Microsoft Windows CryptoAPI (Crypt32.dll) contains a spoofing vulnerability in the way it validates Elliptic Curve Cryptography (ECC) certificates. An attacker could exploit the vulnerability by using a spoofed code-signing certificate to sign a malicious executable, making it appear the file was from a trusted, legitimate source. A successful exploit could also allow the attacker to conduct man-in-the-middle attacks and decrypt confidential information on user connections to the affected software. The vulnerability is also known under the moniker of CurveBall.",Apply updates per vendor instructions.,1/29/2020,Unknown,Reference CISA's ED 20-02 (https://www.cisa.gov/emergency-directive-20-02) for further guidance and requirements.,5.8,8.1,0.96685,0.99571,1.00000
CVE-2019-0604,Microsoft,SharePoint,Microsoft SharePoint Remote Code Execution Vulnerability,11/3/2021,Microsoft SharePoint fails to check the source markup of an application package. An attacker who successfully exploits the vulnerability could run remote code in the context of the SharePoint application pool and the SharePoint server farm account.,Apply updates per vendor instructions.,5/3/2022,Known,,7.5,9.8,0.97054,0.99711,1.00000
CVE-2020-0646,Microsoft,.NET Framework,Microsoft .NET Framework Remote Code Execution Vulnerability,11/3/2021,Microsoft .NET Framework contains an improper input validation vulnerability that allows for remote code execution.,Apply updates per vendor instructions.,5/3/2022,Unknown,,10,9.8,0.97521,0.99987,1.00000
CVE-2019-0808,Microsoft,Win32k,Microsoft Win32k Privilege Escalation Vulnerability,11/3/2021,Microsoft Win32k contains a privilege escalation vulnerability due to the component failing to properly handle objects in memory. Successful exploitation allows an attacker to run code in kernel mode.,Apply updates per vendor instructions.,5/3/2022,Unknown,,7.2,7.8,0.00051,0.17522,0.48043
CVE-2021-26857,Microsoft,Exchange Server,Microsoft Exchange Server Remote Code Execution Vulnerability,11/3/2021,Microsoft Exchange Server contains an unspecified vulnerability that allows for remote code execution. This vulnerability is part of the ProxyLogon exploit chain.,Apply updates per vendor instructions.,4/16/2021,Known,Reference CISA's ED 21-02 (https://www.cisa.gov/emergency-directive-21-02) for further guidance and requirements.,6.8,7.8,0.65361,0.97620,1.00000
CVE-2020-1147,Microsoft,".NET Framework, SharePoint, Visual Studio","Microsoft .NET Framework, SharePoint, and Visual Studio Remote Code Execution Vulnerability",11/3/2021,"Microsoft .NET Framework, Microsoft SharePoint, and Visual Studio contain a remote code execution vulnerability when the software fails to check the source markup of XML file input. Successful exploitation allows an attacker to execute code in the context of the process responsible for deserialization of the XML content.",Apply updates per vendor instructions.,5/3/2022,Unknown,,6.8,7.8,0.89347,0.98510,1.00000
CVE-2019-1214,Microsoft,Windows,Microsoft Windows Privilege Common Log File System (CLFS) Escalation Vulnerability,11/3/2021,Microsoft Windows Common Log File System (CLFS) driver improperly handles objects in memory which can allow for privilege escalation.,Apply updates per vendor instructions.,5/3/2022,Unknown,,7.2,7.8,0.00117,0.45486,0.53128
CVE-2016-3235,Microsoft,Office,Microsoft Office OLE DLL Side Loading Vulnerability,11/3/2021,Microsoft Office Object Linking & Embedding (OLE) dynamic link library (DLL) contains a side loading vulnerability due to it improperly validating input before loading libraries. Successful exploitation allows for remote code execution.,Apply updates per vendor instructions.,5/3/2022,Unknown,,9.3,7.8,0.01431,0.85191,0.59189
CVE-2019-0863,Microsoft,Windows,Microsoft Windows Error Reporting (WER) Privilege Escalation Vulnerability,11/3/2021,"Microsoft Windows Error Reporting (WER) contains a privilege escalation vulnerability due to the way it handles files, allowing for code execution in kernel mode.",Apply updates per vendor instructions.,5/3/2022,Unknown,,7.2,7.8,0.00231,0.61302,0.55405
CVE-2021-36955,Microsoft,Windows,Microsoft Windows Common Log File System (CLFS) Driver Privilege Escalation Vulnerability,11/3/2021,Microsoft Windows Common Log File System (CLFS) driver contains an unspecified vulnerability that allows for privilege escalation.,Apply updates per vendor instructions.,11/17/2021,Known,,4.6,7.8,0.00051,0.17100,0.48009
CVE-2021-38648,Microsoft,Open Management Infrastructure (OMI),Microsoft Open Management Infrastructure (OMI) Privilege Escalation Vulnerability,11/3/2021,Microsoft Open Management Infrastructure (OMI) within Azure VM Management Extensions contains an unspecified vulnerability allowing privilege escalation.,Apply updates per vendor instructions.,11/17/2021,Unknown,,4.6,7.8,0.96237,0.99414,1.00000
CVE-2020-6819,Mozilla,Firefox and Thunderbird,Mozilla Firefox And Thunderbird Use-After-Free Vulnerability,11/3/2021,"Mozilla Firefox and Thunderbird contain a race condition vulnerability when running the nsDocShell destructor under certain conditions. The race condition creates a use-after-free vulnerability, causing unspecified impacts.",Apply updates per vendor instructions.,5/3/2022,Unknown,,6.8,8.1,0.00676,0.77733,0.57934
CVE-2020-6820,Mozilla,Firefox and Thunderbird,Mozilla Firefox And Thunderbird Use-After-Free Vulnerability,11/3/2021,"Mozilla Firefox and Thunderbird contain a race condition vulnerability when handling a ReadableStream under certain conditions. The race condition creates a use-after-free vulnerability, causing unspecified impacts.",Apply updates per vendor instructions.,5/3/2022,Unknown,,6.8,8.1,0.00676,0.77733,0.57934
CVE-2019-17026,Mozilla,Firefox and Thunderbird,Mozilla Firefox And Thunderbird Type Confusion Vulnerability,11/3/2021,Mozilla Firefox and Thunderbird contain a type confusion vulnerability due to incorrect alias information in the IonMonkey JIT compiler when setting array elements.,Apply updates per vendor instructions.,5/3/2022,Unknown,,6.8,8.8,0.51763,0.97274,0.84724
CVE-2019-15949,Nagios,Nagios XI,Nagios XI Remote Code Execution Vulnerability,11/3/2021,Nagios XI contains a remote code execution vulnerability in which a user can modify the check_plugin executable and insert malicious commands to execute as root.,Apply updates per vendor instructions.,5/3/2022,Unknown,,9,8.8,0.51207,0.97261,0.84067
CVE-2020-26919,NETGEAR,JGS516PE Devices,Netgear JGS516PE Devices Missing Function Level Access Control Vulnerability,11/3/2021,Netgear JGS516PE devices contain a missing function level access control vulnerability.,Apply updates per vendor instructions.,5/3/2022,Unknown,,7.5,9.8,0.97346,0.99880,1.00000
CVE-2019-19356,Netis,WF2419 Devices,Netis WF2419 Devices Remote Code Execution Vulnerability,11/3/2021,Netis WF2419 devices contains an unspecified vulnerability that allows an attacker to perform remote code execution as root through the router's web management page.,Apply updates per vendor instructions.,5/3/2022,Unknown,,8.5,7.5,0.95969,0.99345,1.00000
CVE-2020-2555,Oracle,Multiple Products,Oracle Multiple Products Remote Code Execution Vulnerability,11/3/2021,"Multiple Oracle products contain a remote code execution vulnerability that allows an unauthenticated attacker with network access via T3 or HTTP to takeover the affected system. Impacted Oracle products: Oracle Coherence in Fusion Middleware, Oracle Utilities Framework, Oracle Retail Assortment Planning, Oracle Commerce, Oracle Communications Diameter Signaling Router (DSR).",Apply updates per vendor instructions.,5/3/2022,Unknown,,7.5,9.8,0.96399,0.99468,1.00000
CVE-2012-3152,Oracle,Fusion Middleware,Oracle Fusion Middleware Unspecified Vulnerability,11/3/2021,Oracle Fusion Middleware Reports Developer contains an unspecified vulnerability that allows remote attackers to affect confidentiality and integrity of affected systems.,Apply updates per vendor instructions.,5/3/2022,Unknown,,6.4,,0.97387,0.99904,1.00000
CVE-2020-14871,Oracle,Solaris and Zettabyte File System (ZFS),Oracle Solaris and Zettabyte File System (ZFS) Unspecified Vulnerability,11/3/2021,"Oracle Solaris and Oracle ZFS Storage Appliance Kit contain an unspecified vulnerability causing high impacts to confidentiality, integrity, and availability of affected systems.",Apply updates per vendor instructions.,5/3/2022,Unknown,,10,10,0.15317,0.95347,0.67584
CVE-2015-4852,Oracle,WebLogic Server,Oracle WebLogic Server Deserialization of Untrusted Data Vulnerability,11/3/2021,"Oracle WebLogic Server contains a deserialization of untrusted data vulnerability within Apache Commons, which can allow for for remote code execution.",Apply updates per vendor instructions.,5/3/2022,Unknown,,7.5,9.8,0.96878,0.99646,1.00000
CVE-2020-14750,Oracle,WebLogic Server,Oracle WebLogic Server Remote Code Execution Vulnerability,11/3/2021,Oracle WebLogic Server contains an unspecified vulnerability allowing an unauthenticated attacker to perform remote code execution. This vulnerability is related to CVE-2020-14882.,Apply updates per vendor instructions.,5/3/2022,Unknown,,7.5,9.8,0.97544,0.99996,1.00000
CVE-2020-14882,Oracle,WebLogic Server,Oracle WebLogic Server Remote Code Execution Vulnerability,11/3/2021,"Oracle WebLogic Server contains an unspecified vulnerability, which is assessed to allow for remote code execution, based on this vulnerability being related to CVE-2020-14750.",Apply updates per vendor instructions.,5/3/2022,Unknown,,10,9.8,0.97390,0.99907,1.00000
